idx,emotion,text,val_ind,test_ind,train_ind
58,"anger","When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.",3788.0,2546.0,5084.0
59,"sadness","When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.",2264.0,2757.0,3293.0
60,"disgust",When one learns through the mass media all the wars and killing going on in the world.,1795.0,33.0,3237.0
61,"shame","I lied, to be precise I cancelled a meeting with a good friend.",3267.0,4153.0,2938.0
62,"guilt",When one lets friends down,1470.0,821.0,3596.0
63,"joy",When I was accepted for a course on finance and accounting.,1156.0,7323.0,416.0
64,"fear","A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.",5877.0,1049.0,5498.0
65,"anger","At my Summer job, nobody looked after me in particular and I had to learn all on my own.",5534.0,2007.0,1792.0
66,"sadness",When I was not accepted as a student in finance and accounting.,5731.0,1055.0,3962.0
67,"disgust",When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.,5146.0,6037.0,3972.0
68,"shame",My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,3358.0,3141.0,404.0
69,"guilt",At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.,2671.0,1568.0,860.0
70,"joy",Passed an exam by 2 points.,1191.0,5719.0,1572.0
71,"fear","In a cottage in a large forest, I was alone for a while in the dark.",6009.0,1860.0,3624.0
72,"anger",When I spoke to Jan-Erik Wikstr?m on the telephone. ,7302.0,322.0,1227.0
73,"sadness",Railway station good-bye.,4295.0,3253.0,6865.0
74,"disgust",I saw a cripple in rags with small children in Italy.  He was probably an imposter.,189.0,3380.0,5931.0
75,"shame",I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.,1532.0,6121.0,5544.0
76,"guilt",I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.,2458.0,4309.0,430.0
77,"joy",I passed an exam that I was absolutely certain that I had failed.,2560.0,5947.0,1901.0
78,"fear","On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.",5380.0,6449.0,2836.0
79,"anger",I locked myself out.,4432.0,7316.0,7030.0
80,"sadness",I missed the last tram home and had to walk in the pouring rain.,519.0,378.0,3010.0
81,"disgust",I found some worms in the food and I had obviously eaten some.,2545.0,2376.0,2341.0
82,"shame","My friend was so intoxicated that the police came and took him away, and they later contacted his parents.",7172.0,5504.0,5663.0
83,"guilt",I hapened to overhear something which I was not meant to hear.,3570.0,1916.0,237.0
84,"joy",When I won a trip to Greece in a competition.,2525.0,6859.0,3763.0
85,"fear",When I am out in the dark and a suspicious looking character comes towards me.,2615.0,1543.0,4607.0
86,"anger","At work, when an elderly man complained unjustifiably about me and distrusted me.",6502.0,3837.0,7370.0
87,"sadness",When I had not understood anything after a lecture.,6420.0,4189.0,3516.0
88,"disgust",When an alcoholic stood dribbling over a food counter.,5543.0,5148.0,4512.0
89,"shame",When my friend and I were discussing the good looks of a guy we realized that he had been listening.,4831.0,1615.0,4414.0
90,"guilt",When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.,464.0,4910.0,1658.0
91,"joy",At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.,2455.0,7205.0,2866.0
92,"fear",On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.,3286.0,5511.0,5208.0
93,"anger",Mad at my dad.,1465.0,2583.0,4753.0
94,"sadness",A case of unrequited love.,5178.0,3435.0,6548.0
95,"disgust",A bad smelling cucumber.,4101.0,4582.0,7255.0
96,"shame",Nearly caught masturbating.,7160.0,3836.0,4487.0
97,"guilt",I do not help out enough at home.,5242.0,6176.0,7290.0
98,"joy",I felt very happy when I won the football pools.,838.0,127.0,837.0
99,"fear",When I flew from Athens to Copenhagen after a holiday.  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.,2643.0,1306.0,457.0
100,"anger",When someone stole my bike.,,712.0,5949.0
101,"sadness","When I saw the list of books to read for an acccouting course, I thought """" Oh God how will I ever manaage it!",,4848.0,2344.0
102,"disgust",It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000.  An illustration showed a frog between two pieces of bread.,,4543.0,5705.0
103,"shame",When I dropped a bottle in the state liquor store and everyboby started laughing.,,547.0,690.0
104,"guilt","When I was young - 14, I pinched from a store and was caught.  The store then contacted my parents.",,4886.0,737.0
105,"joy",When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.,,4542.0,1100.0
106,"fear","When I could not find my 2 year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)",,1971.0,2727.0
107,"anger",When friends try to put me down or hurt me.  ,,4699.0,691.0
108,"sadness",Marriage crises.  Boredom.,,5258.0,3418.0
109,"disgust",When someone makes advances that one does not want.,,7150.0,79.0
110,"shame",The discovery that one has only thought of oneself.,,3378.0,1980.0
111,"guilt",When I spanked a child in anger and later regretted it terribly.,,2590.0,4366.0
112,"joy",When I passed the first examination that I had to repeat.,,4338.0,4801.0
113,"fear",When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,,1070.0,2933.0
114,"anger",When my boyfriend went away for a month long holiday without me.,,6522.0,3747.0
115,"sadness",Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,,2723.0,379.0
116,"disgust",When a dog is left whining outside a shop.,,2848.0,4588.0
117,"shame",When I promised to help a friend over a weekend and did not keep the promise.,,5381.0,2743.0
118,"guilt",When I realized that I had three more examinations to take.,,2391.0,318.0
119,"joy",The day I was told that I had been accepted as a student of economics.,,5476.0,4954.0
120,"fear","While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people.",,1502.0,5626.0
121,"anger","At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used .",,723.0,6573.0
122,"sadness",At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,,2565.0,1043.0
123,"disgust",While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.,,5461.0,2469.0
124,"shame","When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.",,783.0,2316.0
125,"guilt","When I am dishonest to a friend to whom I am very close.  I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong.",,1068.0,3643.0
126,"joy",When I found out that I had passed the last two exams by a margin of three marks.,,1307.0,2451.0
127,"fear",When my father was ill and was waiting for the results of his tests.,,6528.0,1645.0
128,"anger",When I got caught in the pouring rain last Thursday and did not have a raincoat on me.,,2002.0,6866.0
129,"sadness",When I failed an exam.,,5144.0,4524.0
130,"disgust","At a Sm?rgasbord table, a man mixed differnet kinds of picked herrings with fruit salad.",,613.0,2234.0
131,"shame","When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor.",,5706.0,6643.0
132,"guilt","When my father and I worked on the house just after he had recovered from illness, I was rather lazy.  This meant that he had to work hard and was not very well later.",,7444.0,5603.0
133,"joy",When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.,,3854.0,4443.0
134,"fear",When I found out that my father had lung cancer and they did not know how long he would live.,,2575.0,7453.0
135,"anger","When a colleague asked me for help at work, despite the fact that he had more time to do it than I had.",,1408.0,3329.0
136,"sadness",When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated.,,501.0,591.0
137,"disgust",When I was weeding the garden I found a lizard in my hand.,,197.0,6338.0
138,"shame","When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier.",,1672.0,4361.0
139,"guilt",I got angry at my mother for something trivial.  We were in a bad mood because my father was very ill and I knew that my mother really needed support.  I had reacted wrongly.,,1430.0,168.0
140,"joy","New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time.",,3426.0,3424.0
141,"fear","When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue.  I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go.  The situation ended happily since there were no consequences.",,3411.0,196.0
142,"anger",The editor changed the heading of an article that I had written.  He considered the heading to be derogatory towards the person I had written about.,,5261.0,6126.0
143,"sadness","A close acquaintance of the family died of lung cancer.  Although it was expected, I still felt depressed.",,1446.0,4835.0
144,"disgust","When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers.  The car was so badly damaged that they couldn't get the bodies out at the scene of the accident.",,2950.0,3387.0
145,"shame",One night I had a sexual intercourse with another man.  My sexual desire and my curiosity had made me jump into bed with him.  I am ashamed of myself now.,,76.0,2441.0
146,"guilt","Due to laziness, I failed the term studies completely at University.  I also wanted, to some extent, to protest against my parents' expectations.",,6284.0,6892.0
147,"joy",When I got the loan for my studies.,,5984.0,4532.0
148,"fear",I met intoxicated people with dubious intentions in a back alley one Wednesday night.,,1496.0,3775.0
149,"anger",On the T.V I saw a news feature on South Africa.  A policeman      attacked a group of black people with a whip.,,6581.0,5370.0
150,"sadness",The thought of having to read a boring book of 400 pages in English.,,7079.0,3261.0
151,"disgust",Grovelling people.,,3306.0,2982.0
152,"shame",My inability to assert myself positively in a group.,,5102.0,1352.0
153,"guilt",I experience feelings of guilt because I do not study enough.,,526.0,270.0
154,"disgust","Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners.",,6805.0,368.0
155,"shame",I guess I have often been ashamed after having talked badly of other people.,,2364.0,5639.0
156,"guilt",Having been angry and unpleasant towards my parents.,,3741.0,3099.0
157,"joy",When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy.,,5106.0,2551.0
158,"fear","When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover.",,347.0,6309.0
159,"anger","We were starting a student project, and the teacher we talked to was very negative and not very helpful.",,6142.0,480.0
160,"sadness","When my boyfriend openly let me down, preferring another girl.",,849.0,1273.0
161,"disgust","I felt some disgust for my boyfriend for a time, after he had left me.",,4383.0,1047.0
162,"guilt","Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed.",,5792.0,4700.0
163,"joy","Unexpected visit by a close friend, whom I hadn't seen for half a year.",,5766.0,4754.0
164,"fear","I wandered by mistake into the safety zone of a shooting range, and was shot at.",,4491.0,3603.0
165,"anger",Being treated unfairly.,,5514.0,3719.0
166,"sadness",Breaking up with a girl.,,4197.0,5574.0
167,"guilt",Little contact with my father before he died.,,7218.0,2172.0
168,"joy","When I was accepted as a student at the college, not having thought it possible.",,4124.0,5687.0
169,"fear","When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed.",,7262.0,103.0
170,"anger","I was accused of having done something, which I hadn't and got very angry.",,6148.0,4457.0
171,"sadness",When my grandmother died.,,789.0,5340.0
172,"joy","A couple of years ago during the summer holiday, I was fishing at a lake with my husband.  Suddenly it started raining while the sun was still shining. I experienced a feeling of joy, happiness and fulfillment.  the whole nature was full of music.",,5214.0,2839.0
173,"fear","I was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences.  My leg was itching and I stretched my hand to scratch and I felt another strange hand. (later I realized that it was the corner of the blanket)",,5583.0,2367.0
174,"anger","I went to a lecture and once again it had been cancelled, this was the second time.  One had a negative attitude towards the lecturer.",,1452.0,6208.0
175,"sadness","I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible.  The limited scope of human life is sad.",,395.0,5156.0
176,"disgust","In the tram there was a fat, sickly looking woman in front of me who was asking for directions in a thick voice.  When she got up to go a disgusting smell of urine came from her.  I felt that I would choke.",,5110.0,274.0
177,"shame","When we were at home, my husband and I, he made a remark about something I had done, in a perfectly friendly manner.  My deed had been unjust and I knew that my husband was right, therefore my sense of shame.",,7113.0,290.0
178,"guilt","I made a remark to my sister concerning her attitude to men, the way she talked and I compared her to an acquaintance of mine.  Later, the same evening, my sister looked sad.  I felt guilty about her sadness.",,4268.0,6854.0
179,"joy","I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.",,3204.0,2268.0
180,"fear","I went to practice in Sweden during summer, and I was afraid that I would not do well.",,4750.0,3969.0
181,"anger","In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room - it was the morning service at its loudest.",,5116.0,4870.0
182,"sadness",My grandmother died suddenly last summer.,,5535.0,1534.0
183,"disgust","My superior at the summer job swindled customers as much as he could, and once put me in a difficult situation after which I could not but detest him.",,6435.0,3743.0
184,"shame",Once I arrived two hours late to my work place (a bank) and I was still feeling feeble and tired.,,1934.0,3756.0
185,"guilt",Our association had Polish visitors and when they were going back by boat I did not go to see them off (I am the chairman of the association).,,4345.0,5894.0
186,"joy","I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation.  I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ?",,1184.0,4557.0
187,"fear","Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group.  We read the names and then each group went its own way to a seminar room.  I wondered how I would cope with the new situation and if I would succeed as a group leader.",,4394.0,3350.0
188,"anger","We were in a disco and the evening was not at all pleasant.  Despite my not knowing why, I was angry with my companion.  I let him feel my bad humour as I cannot hide my feelings.",,5988.0,7074.0
189,"sadness","My grandmother died, and my mother called me one sunday morning in the Autumn.  The way my mother told me about it, I hated her at that moment.  She sounded as if she had been waiting for the death of my grandmother.  I had lost a person close to me.  I felt guilty too as I had been bad to my grandmother of late.  I had not remained calm when she no longer understood everything so well.",,2570.0,5697.0
190,"disgust","At the underground station, a drunkard came to speak to me.  He tried to ask me something but I did not answer so he began to speak about me with his companion.  I detested this dirty growling man.",,4780.0,1319.0
191,"shame","I was worried by a task related to my studies which had to be done in groups of two.  I was talking about it to my friends when I said something negative, in too abrupt a manner, concerning my work partner.  I did not quite mean what I said and I felt ashamed at having been mean enough to criticize him as he is also a friend of mine.",,1785.0,6774.0
192,"guilt",I had told my boyfriend that I did not want to go on with our relationship.  I knew that I was important to him but I wanted to be free.  I saw that this was difficult for him but I remained firm and did not change my mind.,,7096.0,2209.0
193,"joy","Last night I had a chat with a fellow student.  I had known her for about half a year, and for the first time we were speaking """"the same language""""- meaning an inspiring discussion and encounter.",,7195.0,3073.0
194,"anger"," I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events.",,6688.0,2397.0
195,"sadness","After hearing about the death of my grandfather.  First I could not believe it, but later I wept and felt the situation was hopeless.  I felt lonely and wanted to be consolated.",,6356.0,6458.0
196,"disgust","In the evening, while I was watching TV, my little brother came in and started eating food he had brought from the kitchen while I was trying to concentrate on the program.",,4832.0,3466.0
197,"shame",My little brother was arrested by the police at the railway station after he had drunk some beer.,,4652.0,6644.0
198,"guilt","At my temporary job, I have to restrict  others' actions and make them obey me, and this very often gives me  a feeling of guilt.  I wish there could be some other way of acting.",,1678.0,2483.0
199,"joy","I met a dear friend of mine after a long time.  I expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc...",,2328.0,5382.0
200,"fear","I felt fear of the purest kind after a car accident.  The incident and images of horror kept coming back to my mind.  I wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened.",,3958.0,2548.0
201,"anger","Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know.  They had despised her conviction, scorned and touched her.  I got very angry and did not try to conceal it and gave it back to them.",,770.0,7297.0
202,"sadness","My sweetheart left me, or rather we decided to break it off by mutual consent.  The consequences were - unrestrained weeping, feelings of loneliness, hopelessness and disconsolation.  I felt that I should find a friend, to talk to joyfully and to forget.",,6233.0,6113.0
203,"disgust","Out of sheer curiosity, I went to see a pornographic movie in Copenhagen.  The room was full of men, who panted and masturbated.  Very disgusting.",,7041.0,6968.0
204,"shame","After having quarelled unnecessarily and without any reason, and having been stupidly cross in every way.",,7075.0,1667.0
205,"guilt",Forced to fill in a questionnaire.,,3186.0,7020.0
206,"joy",When I won a tennis match.,,2240.0,6255.0
207,"fear",When my dog ran out on thin ice last spring.,,4399.0,708.0
208,"anger",When my tennis match was interrupted because a kid cycled right into the court.,,159.0,3641.0
209,"joy",Celebrations on the graduation day with the orchestra playing in the garden ( I am a part of this orchestra).,,1609.0,3302.0
210,"fear",Risk of being involved in a fight after a party.,,6069.0,4054.0
211,"anger","I had a very heavy work load and two colleagues, whom I have nothing against, disturbed me by """"terror ringing"""", i.e continously interrupting me by telephoning.",,498.0,5142.0
212,"sadness",After an exam which I failed.,,2301.0,3538.0
213,"shame","When I overtook a car on the mainroad, misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver (we could have collided), and I had an acquaintance in the car with me.",,7307.0,5227.0
214,"guilt","I saw a neighbour, from the same appartment block as me, lying    on the road.  He could have been injured or ill.  I kept 20 metres away and did not go to help him.",,3149.0,6582.0
215,"joy",When I met an old schhol friend (school love) who works in Sk+vde.,,5703.0,2564.0
216,"fear","When I was cycling to school, I nearly got knocked down by a car which (overtook me too closely) did not give me any swerving space.",,5271.0,47.0
217,"anger","When I was deputy manager during the Summer, certain deputies took liberties, more than what was normal.",,1586.0,1472.0
218,"sadness","When I realized that my girlfriend, whom I like, and I were going to separate.",,7392.0,6212.0
219,"disgust",Dog dirt which thaws in the spring.,,3985.0,3165.0
220,"shame",When I forgot my mother's birthday.,,296.0,1103.0
221,"joy",Passed the last exam.,,705.0,1353.0
222,"fear",Was nearly knocked down by a car.,,2661.0,3942.0
223,"anger",I reached the bus stop and realized that I had forgotten my bus pass.,,6725.0,6498.0
224,"sadness",My current work load is too much.  The feeling comes back from time to time.,,4791.0,3911.0
225,"joy",When my one year old son gives me a spontaneous kiss.,,6954.0,3077.0
226,"fear",When someone close to me is travelling by car and is delayed.,,5127.0,1694.0
227,"anger",When someone does something wrong which affects me negatively.,,6526.0,2721.0
228,"sadness",When I think about my parents getting old.,,4158.0,243.0
229,"guilt","I do not have the time for other people's problems.  My mother-in-law is sometimes depressed and I do not have the time, the desire or the strength to help.",,7031.0,2756.0
230,"joy","An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed """"clever people"""" and he had """"immediately thought of me.",,4614.0,1929.0
231,"fear",I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me.,,7090.0,3324.0
232,"anger",I saw a report on T.V news on apartheid in South Africa. ,,3412.0,3571.0
233,"joy",When my girlfriend became pregnant.,,5715.0,3840.0
234,"fear",When I nearly collided with another car.,,6852.0,4282.0
235,"anger",The time when someone let the air out of the tyres of my cycle.,,2171.0,3822.0
236,"sadness",When I read a lot and did not remember anything.,,4217.0,4716.0
237,"guilt",The time that I had to put my dog to sleep.,,3510.0,1177.0
238,"sadness",Long illness.,,5355.0,5411.0
239,"joy",When I passed an exam.,,843.0,5926.0
240,"fear","When I was travelling by tram, I tripped and fell against the door.  I thought that I was going to fall out.",,6999.0,2683.0
241,"anger",When I missed the tram after having run for it.,,6010.0,2349.0
242,"sadness",The inability to read a book at college.,,3503.0,6704.0
243,"disgust",If a guy one is not interested in makes advances.,,3844.0,872.0
244,"shame",I drink wine too often.,,5795.0,4866.0
245,"guilt",I do not study enough as I do not understand it properly.,,358.0,4032.0
246,"joy",I worked at a lawyer's office during Summer and I got a very good reference from him.,,2101.0,6465.0
247,"fear",I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. ,,1327.0,2312.0
248,"anger","When I am accused of something I have not done, I get unbelievably angry.",,1973.0,4058.0
249,"sadness","When I began to read a thick book, which I had a limited time to read.  Also when I have a lot of work to do and I cannot keep up.",,4165.0,6613.0
250,"disgust",Someone vomited on the street.,,4039.0,7295.0
251,"shame","I can not think of any incident when I have felt very ashamed.  There are small incidents that I am ashamed of, for instance, not sending money to the children in Ethiopia.",,6078.0,4083.0
252,"guilt",I had lunch with my ex-boyfriend and did not mention it to my fiancee.  I felt guilty despite the fact that I felt nothing for my ex-boyfriend.,,1323.0,7131.0
253,"joy",When I was finally qualified for my profession.,,6952.0,779.0
254,"fear",Someone attacked me with a knife.,,4536.0,3457.0
255,"anger",Someone drove into my car and then denied that it had happened.,,4620.0,4872.0
256,"sadness",When I was told that my friend's wife had cancer.,,4770.0,1132.0
257,"disgust",When I saw a dog which had been knocked down by a car.,,2620.0,3671.0
258,"shame",When I boxed my child's ears.,,6331.0,1681.0
259,"guilt",When I was fined for speeding.,,5712.0,2402.0
260,"joy",I stopped working (had a boring job).,,5856.0,6241.0
261,"fear","I was going home by car late one night when it was cold, dark and windy.  I became rather panicky on the way to my house.",,2506.0,4952.0
262,"anger",Quarrel in the family.,,4005.0,210.0
263,"sadness",When I am alone in a room with no contact with anyone - loneliness drains me.,,3168.0,3123.0
264,"disgust",When I was on holiday someone vomited in front of me.,,5770.0,1056.0
265,"shame",Emptied a bucket of water in a hospital.,,6745.0,839.0
266,"guilt",When I feigned sick leave from work.,,400.0,2653.0
267,"joy",When I get a hug from someone I love.,,4461.0,2898.0
268,"fear",I was driving very fast on a small road and I met an oncoming car in a right handed bend.  The other driver was on his own side of the road and I had to skid out of it to avoid a collision.  It was dark.,,4853.0,923.0
269,"anger",My car had been towed away by the traffic police because it had been wrongly parked.  However the sign had been put up only after I had already parked.,,292.0,3855.0
270,"sadness",After an operation I had to stay in bed for a long time.,,3304.0,2449.0
271,"disgust",I was forced to stay in the canteen and eat the food that I had not asked for but got it anyway.,,3573.0,1359.0
